,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
205,6005 S Eastern Ave,{'BusinessAcceptsCreditCards': 'True'},PqwEuhVLp4PzfAg5ROgTaA,"Oil Change Stations, Tires, Auto Parts & Supplies, Automotive",Las Vegas,"{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '7:0-19:0', 'Sunday': '7:0-18:0'}",1,36.0803201,-115.1217779,Walmart Auto Care Centers,Southeast,89119,13,3.0,NV
538,5835 S Eastern Ave,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'False', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True'}",LbvUkLOhg4LZNpMoCOmHpA,"Flowers & Gifts, Books, Mags, Music & Video, Arts & Entertainment, Supernatural Readings, Shopping, Bookstores, Gift Shops, Spiritual Shop",Las Vegas,"{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '11:0-20:0'}",1,36.083965,-115.119842,Psychic Eye Book Shops,Southeast,89119,36,4.0,NV
539,5757 Wayne Newton Blvd,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",lYCeqldIiOggsbByH3RRhw,"Pizza, Restaurants",Las Vegas,,1,36.0808997,-115.1391027,Metro Pizza,Southeast,89119,21,2.5,NV
681,5050 Tamarus St Ofc,{'BusinessAcceptsCreditCards': 'True'},Fg93ZB0xXurEnBICPFcepQ,"Apartments, Real Estate, Home Services",Las Vegas,"{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-18:0', 'Saturday': '10:0-17:0', 'Sunday': '13:0-17:0'}",1,36.098302,-115.130709,Sonterra Apts,Southeast,89119,9,1.5,NV
1121,5757 Wayne Newton Blvd,{'WiFi': 'free'},dciKn2Otp8nAMi4AurPjsg,"Airports, Airport Terminals, Hotels & Travel",Las Vegas,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,36.0854079715,-115.139156471,McCarran Airport Terminal 3,Southeast,89119,257,4.0,NV
1280,5757 Wayne Newton Blvd,{'WiFi': 'free'},1ufk_GFAX_5foAZnbM_U6A,"Airports, Airport Terminals, Transportation, Airlines, Hotels & Travel",Las Vegas,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,36.0832742175,-115.152000079,McCarran Airport Terminal 1,Southeast,89119,25,3.5,NV
1305,,{'BusinessAcceptsCreditCards': 'True'},542ipK0wUacUjO0HgW73yA,"Home Inspectors, Home Services",Las Vegas,"{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '8:0-18:0', 'Sunday': '8:0-18:0'}",1,36.0765176,-115.1533426,Metz Home Inspection,Southeast,89119,5,4.5,NV
1361,"5757 Wayne Newton Blvd, Terminal 1, Gate A","{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'CoatCheck': 'False', 'GoodForDancing': 'False', 'HappyHour': 'False', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'loud', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'Smoking': 'no', 'WiFi': 'no'}",GutGxr0snLHD0uNPpJ7ypA,"Bars, Nightlife, Sports Bars",Las Vegas,,1,36.085792,-115.1534625,The B Lounge,Southeast,89119,11,2.0,NV
1362,5301 Rent A Car Rd,,s_eC_sXBHjxVaAz9EkPXbQ,"Car Rental, Hotels & Travel, Truck Rental, Automotive, Parking",Las Vegas,,0,36.0931103,-115.1502643,Thrifty Car Rental,Southeast,89119,57,1.5,NV
1901,5757 Wayne Newton Blvd,,z7GAft_JrFNmAH5xbVeYSA,"Transportation, Hotels & Travel, Airlines",Las Vegas,,1,36.0838389,-115.148385,Southwest Airlines,Southeast,89119,625,3.0,NV
